restaurant_name,category,location,dietary_preference,price_range,avg_star,review_count,avg_sentiment,review_count_norm,score
Donkas Lab,Asian,Sunway Geo Avenue,None,RM20-40,4.2188612099644125,562,0.6654804270462633,0.728923476005188,2.8133696590368835
Dunkin' Donuts,Dessert,Sunway Pyramid,Muslim-friendly,RM1-20,3.75,28,0.4642857142857143,0.03631647211413749,2.3287219751713915
Fat Cat,Cafe,Sunway Geo Avenue,Muslim-friendly,RM20-40,4.032846715328467,274,0.5766423357664233,0.3553826199740597,2.5950500345555585
Fat One BBQ Steamboat,Seafood/BBQ,Sunway Mentari,None,RM40-60,3.9398496240601504,266,0.5263157894736842,0.3450064850843061,2.5291087641282193
Flower Girl Coffee,Cafe,Sunway Geo Avenue,Muslim-friendly,RM20-40,4.127777777777778,540,0.6111111111111112,0.7003891050583657,2.743430609597925
Fluffed Cafe,Dessert,Sunway Mentari,Muslim-friendly,RM20-40,4.390625,384,0.7526041666666666,0.4980544747081712,2.8717792436770426
Food City,Hawker/Food Court,Sunway University,None,RM1-20,4.166666666666667,6,0.6666666666666666,0.007782101167315175,2.601945525291829
Forever Green Restaurant,Vegetarian,Sunway Pyramid,Vegetarian,RM1-20,4.130081300813008,123,0.6341463414634146,0.15953307392996108,2.6130540001898073
Four Beans,Dessert,Sunway Pyramid,Muslim-friendly,RM1-20,4.700934579439252,107,0.8504672897196262,0.13878080415045396,2.982826042159109
Garage 51,Western/European,Sunway University,Muslim-friendly,RM20-40,3.6985645933014353,418,0.42105263157894735,0.5421530479896238,2.4178349127151093
Genki Sushi,Asian,Sunway Pyramid,Muslim-friendly,RM20-40,4.168393782383419,386,0.6321243523316062,0.5006485084306096,2.721017049387445
